,ID_REF,PROBE_ID,IDENTIFIER
328,1552721_a_at,328,FGF1
329,1552722_at,329,ARPP21
330,1552724_at,330,RHOXF1
331,1552725_s_at,331,ADAMTS17
332,1552726_at,332,ADAMTS17
333,1552727_s_at,333,ADAMTS17
334,1552729_at,334,SNORA17B
335,1552730_at,335,DHH
336,1552731_at,336,ABRA
337,1552732_at,337,ABRA
338,1552733_at,338,KLHDC1
339,1552734_at,339,RICTOR
340,1552735_at,340,PCDHGA4
341,1552736_a_at,341,NETO1
342,1552737_s_at,342,WWP2
343,1552738_a_at,343,ST7L
344,1552739_s_at,344,ST7L
345,1552740_at,345,C2orf15
346,1552742_at,346,KCNH8
347,1552743_at,347,MCF2L
348,1552745_at,348,SLCO6A1
349,1552747_a_at,349,PP2D1
350,1552749_a_at,350,KLC3
351,1552750_at,351,CIB3
352,1552751_a_at,352,CIB3
353,1552752_a_at,353,CADM2
354,1552754_a_at,354,CADM2
355,1552755_at,355,C9orf66
356,1552757_s_at,356,C9orf66
357,1552758_at,357,HDAC9
358,1552760_at,358,HDAC9
359,1552761_at,359,SLC16A11
360,1552763_at,360,TMEM67
361,1552765_x_at,361,TMEM67
362,1552766_at,362,HS6ST2
363,1552767_a_at,363,HS6ST2
364,1552768_at,364,CAMKK1
365,1552769_at,365,ZNF625
366,1552770_s_at,366,ZNF563
367,1552771_a_at,367,LIN9
368,1552772_at,368,CLEC4D
369,1552773_at,369,CLEC4D
370,1552774_a_at,370,SLC25A27
371,1552775_at,371,GPRC6A
372,1552777_a_at,372,RAET1E
373,1552779_a_at,373,SLC44A5
374,1552782_at,374,SLC44A5
375,1552783_at,375,ZNF417
376,1552785_at,376,ZNF781
377,1552787_at,377,HELB
378,1552788_a_at,378,HELB
379,1552789_at,379,SEC62
380,1552790_a_at,380,SEC62
381,1552791_a_at,381,TRDN
382,1552792_at,382,SOCS4
383,1552793_at,383,C8orf31
384,1552794_a_at,384,ZNF547
385,1552796_a_at,385,SIM1
386,1552797_s_at,386,PROM2
387,1552798_a_at,387,TLR4
388,1552799_at,388,TSNARE1
389,1552800_at,389,ABHD11
390,1552801_at,390,CAPN13
391,1552803_a_at,391,STMN1
392,1552804_a_at,392,TIRAP
393,1552806_a_at,393,SIGLEC10
394,1552807_a_at,394,SIGLEC10
395,1552808_at,395,ADAMTSL1
396,1552809_at,396,RFX4
